aclass_id,bus,smm,prikljucna_moc_odjem,prikljucna_moc_oddaja,x_y,lon_lat
PMO,41738,621.0,106.0,0.0,"(520377.6124, 152418.53989999928)","(21.356558989288665, 49.239700987517935)"
PMO,41741,428.0,11.0,0.0,"(520372.1928000003, 152432.88020000048)","(21.356487210870704, 49.23982960733534)"
PMO,41741,11096.0,17.0,0.0,"(520372.1928000003, 152432.88020000048)","(21.356487210870704, 49.23982960733534)"
PMO,41743,11105.0,17.0,0.0,"(520370.7619000003, 152408.88990000077)","(21.35647118129004, 49.23961366944986)"
PMO,41743,11106.0,6.0,0.0,"(520370.7619000003, 152408.88990000077)","(21.35647118129004, 49.23961366944986)"
PMO,41744,87046.0,24.0,0.0,"(520370.29339999985, 152454.36060000025)","(21.356460323909765, 49.24002272134694)"
PMO,41744,88533.0,17.0,0.0,"(520370.29339999985, 152454.36060000025)","(21.356460323909765, 49.24002272134694)"
PMO,41746,88523.0,5.0,0.0,"(520369.8024000004, 152422.39010000043)","(21.356457320483436, 49.239735056626905)"
PMO,41746,11102.0,7.0,0.0,"(520369.8024000004, 152422.39010000043)","(21.356457320483436, 49.239735056626905)"
PMO,41747,436.0,11.0,0.0,"(520369.6843999997, 152485.52109999955)","(21.35644914988739, 49.24030301844388)"
PMO,41748,,,,"(520369.50299999956, 152442.74049999937)","(21.356451297883606, 49.23991812114793)"
PMO,41745,,,,"(520369.90270000044, 152432.5203000009)","(21.356457555409577, 49.23982620228337)"
PMO,41750,,,,"(520369.0416000001, 152399.66980000027)","(21.35644984588955, 49.23953059344805)"
PMO,41749,11091.0,6.0,0.0,"(520369.4837999996, 152468.01080000028)","(21.35644839079488, 49.24014546895855)"
PMO,41749,440.0,6.0,0.0,"(520369.4837999996, 152468.01080000028)","(21.35644839079488, 49.24014546895855)"
PMO,41749,502.0,17.0,0.0,"(520369.4837999996, 152468.01080000028)","(21.35644839079488, 49.24014546895855)"
PMO,41749,11090.0,6.0,0.0,"(520369.4837999996, 152468.01080000028)","(21.35644839079488, 49.24014546895855)"
PMO,41751,481.0,17.0,0.0,"(520368.9018000001, 152404.38990000077)","(21.35644753676697, 49.239573048553844)"
PMO,41751,114576.0,14.0,0.0,"(520368.9018000001, 152404.38990000077)","(21.35644753676697, 49.239573048553844)"
PMO,41751,114573.0,14.0,0.0,"(520368.9018000001, 152404.38990000077)","(21.35644753676697, 49.239573048553844)"
PMO,41751,114574.0,14.0,0.0,"(520368.9018000001, 152404.38990000077)","(21.35644753676697, 49.239573048553844)"
PMO,41754,453.0,14.0,0.0,"(520368.2647000002, 152497.08129999973)","(21.35642952592318, 49.24040691842341)"
PMO,41754,461.0,17.0,0.0,"(520368.2647000002, 152497.08129999973)","(21.35642952592318, 49.24040691842341)"
PMO,41755,,,,"(520368.1815999998, 152399.8099000007)","(21.35643868049793, 49.239531791116534)"
PMO,41752,,,,"(520368.56379999965, 152466.5407999996)","(21.35643661668493, 49.24013217666656)"
PMO,41757,11092.0,6.0,0.0,"(520368.0741999997, 152478.90100000054)","(21.3564289683247, 49.24024334189208)"
PMO,41756,11089.0,6.0,0.0,"(520368.1442999998, 152482.7111000009)","(21.356429476450533, 49.24027762531932)"
PMO,41760,11120.0,6.0,0.0,"(520367.53110000025, 152386.3596999999)","(21.356431661012845, 49.239410736263125)"
PMO,41760,91512.0,6.0,0.0,"(520367.53110000025, 152386.3596999999)","(21.356431661012845, 49.239410736263125)"
PMO,41760,88743.0,8.0,0.0,"(520367.53110000025, 152386.3596999999)","(21.356431661012845, 49.239410736263125)"
PMO,41762,107632.0,17.0,0.0,"(520367.1612999998, 152391.68979999982)","(21.35642630556866, 49.2394586625672)"
PMO,41765,556.0,14.0,0.0,"(520363.92260000017, 152433.57049999945)","(21.356379907269215, 49.2398352141254)"
PMO,41765,90245.0,6.0,0.0,"(520363.92260000017, 152433.57049999945)","(21.356379907269215, 49.2398352141254)"
PMO,41765,11098.0,17.0,0.0,"(520363.92260000017, 152433.57049999945)","(21.356379907269215, 49.2398352141254)"
PMO,41766,,,,"(520363.5236999998, 152468.1610000003)","(21.35637109620413, 49.240146385225145)"
PMO,41767,,,,"(520363.5044, 152491.20130000077)","(21.35636842206784, 49.24035367038454)"
PMO,41769,,,,"(520363.30229999963, 152425.7204)","(21.35637269032298, 49.23976454387994)"
PMO,41770,,,,"(520363.1919999998, 152414.83019999973)","(21.356372405829205, 49.239666560003656)"
PMO,41771,11100.0,17.0,0.0,"(520361.83160000015, 152404.0401000008)","(21.356355902149353, 49.23956938544267)"
PMO,41771,11099.0,17.0,0.0,"(520361.83160000015, 152404.0401000008)","(21.356355902149353, 49.23956938544267)"
PMO,41771,11101.0,6.0,0.0,"(520361.83160000015, 152404.0401000008)","(21.356355902149353, 49.23956938544267)"
PMO,41773,,,,"(520361.76410000026, 152482.2313000001)","(21.356346800914753, 49.24027284298719)"
PMO,41774,88810.0,14.0,0.0,"(520361.6113, 152395.43999999948)","(21.356353950514645, 49.239491996869056)"
PMO,41775,540.0,6.0,0.0,"(520361.54229999986, 152425.82039999962)","(21.35634985976145, 49.23976531507554)"
PMO,41775,499.0,14.0,0.0,"(520361.54229999986, 152425.82039999962)","(21.35634985976145, 49.23976531507554)"
PMO,41775,11208.0,17.0,0.0,"(520361.54229999986, 152425.82039999962)","(21.35634985976145, 49.23976531507554)"
PMO,41775,83650.0,14.0,0.0,"(520361.54229999986, 152425.82039999962)","(21.35634985976145, 49.23976531507554)"
PMO,41775,11209.0,8.0,0.0,"(520361.54229999986, 152425.82039999962)","(21.35634985976145, 49.23976531507554)"
PMO,41775,11212.0,17.0,0.0,"(520361.54229999986, 152425.82039999962)","(21.35634985976145, 49.23976531507554)"
PMO,41775,11211.0,6.0,0.0,"(520361.54229999986, 152425.82039999962)","(21.35634985976145, 49.23976531507554)"
PMO,41775,11207.0,14.0,0.0,"(520361.54229999986, 152425.82039999962)","(21.35634985976145, 49.23976531507554)"
PMO,41775,122471.0,14.0,0.0,"(520361.54229999986, 152425.82039999962)","(21.35634985976145, 49.23976531507554)"
PMO,41776,505.0,5.0,0.0,"(520360.6617999999, 152411.01019999944)","(21.35634000136821, 49.239632007925344)"
PMO,41266,112045.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112046.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,614.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112040.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112038.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112044.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112047.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112056.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112042.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112049.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,409.0,24.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112039.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
PMO,41266,112048.0,14.0,0.0,"(520406.7215, 152370.19830000028)","(21.35694149652698, 49.23926819633351)"
