from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,max_i_ka,type,d_mm2,coords,coords_transformed
55579,96697,0.054999999701977,0.532999992370606,0.078999996185303,0.175999999046326,cs,70.0,"[[530374.6612999998, 153999.8621999994], [530375.4417000003, 153999.38949999958], [530373.0016000001, 153994.18950000033], [530372.2015000004, 153992.4894999992], [530370.9615000002, 153994.4196000006], [530359.2016000003, 154001.42980000004], [530348.8115999997, 154006.73000000045], [530339.6316, 154011.07019999996], [530336.3517000005, 154013.90029999986], [530337.4517000001, 154015.33029999956]]","[[21.486049387812564, 49.254584020619056], [21.48605954911232, 49.25457981329361], [21.48602833876741, 49.25453288725537], [21.486018104593867, 49.25451754591018], [21.486001859921757, 49.25453483848527], [21.48584874800595, 49.25459722260195], [21.48571354680653, 49.254644301772366], [21.48559411952782, 49.254682814388865], [21.48555134196745, 49.2547080850479], [21.485565488389135, 49.2547210147785]]"
55593,96697,0.037000000476837,0.532999992370606,0.078999996185303,0.175999999046326,cs,70.0,"[[530337.4517000001, 154015.33029999956], [530342.2120000003, 154022.7402999997], [530344.4823000003, 154030.8103], [530346.9824000001, 154033.0603], [530348.6323999995, 154032.85029999912], [530358.5023999996, 154029.4001000002], [530358.6723999996, 154029.82010000013], [530357.4424, 154030.35009999946]]","[[21.485565488389135, 49.2547210147785], [21.48562660498878, 49.25478795943159], [21.485655371457717, 49.25486069670929], [21.485687607975635, 49.254881085556455], [21.485709025792776, 49.254879292478336], [21.485837327734384, 49.25484882721258], [21.48583949728245, 49.25485261581713], [21.485823499881775, 49.254857312419105]]"
55615,96697,0.037999998778105,1.039999961853027,0.081000000238419,0.119999997317791,cs,35.0,"[[530337.4517000001, 154015.33029999956], [530336.2616999997, 154013.98029999994], [530333.9017000003, 154014.8604000006], [530329.0717000002, 154018.28050000034], [530327.3618000001, 154020.71050000004], [530326.0017999997, 154021.65049999952], [530324.9719000002, 154024.19060000032], [530324.9619000005, 154024.66059999913], [530325.0318999998, 154024.91059999913], [530325.3019000003, 154026.3105999995], [530326.5520000001, 154027.8406000007], [530329.2922, 154033.21059999987], [530330.6123000002, 154036.68060000055], [530330.8523000004, 154036.96059999987], [530331.6523000002, 154036.7006000001]]","[[21.485565488389135, 49.2547210147785], [21.485550167959506, 49.25470879954577], [21.485519485301808, 49.25471657996486], [21.485456553613545, 49.254747068275236], [21.485434172139186, 49.25476883087873], [21.48541645415677, 49.2547772085552], [21.485402882833064, 49.254800001403325], [21.485402713582513, 49.25480422935214], [21.48540360042785, 49.25480648265795], [21.485406984450474, 49.25481909404851], [21.485423069215024, 49.254832932246515], [21.48545815713943, 49.25488140543234], [21.485474986582275, 49.25491270165179], [21.48547807577375, 49.25491523478596], [21.48548847348933, 49.25491294229187]]"
55615,55625,0.035000000149012,0.626999974250794,0.081000000238419,0.158999994397163,cs,35.0,"[[530331.6523000002, 154036.7006000001], [530330.8422999997, 154037.07059999928], [530330.5223000003, 154036.7405999992], [530329.1922000004, 154033.25060000084], [530326.4620000003, 154027.90059999935], [530325.2018999998, 154026.35060000047], [530324.8819000004, 154024.68060000055], [530324.8918000003, 154024.17060000077], [530325.2517999997, 154023.07059999928], [530325.9018000001, 154021.58049999923], [530321.7317000004, 154019.07059999928], [530320.0115999999, 154016.37060000002], [530319.8015000001, 154016.12060000002], [530319.6315000001, 154016.04059999995], [530317.9814999998, 154016.90059999935], [530317.2016000003, 154017.94070000015], [530317.2416000003, 154018.59070000052]]","[[21.48548847348933, 49.25491294229187], [21.485477936820025, 49.25491622385882], [21.485473814251844, 49.25491323621125], [21.485456856794528, 49.254881759470415], [21.485421896885796, 49.254833466805465], [21.48540568410671, 49.254819448085996], [21.485401674317632, 49.254804404619556], [21.48540184563749, 49.254799816789806], [21.48540660732488, 49.254789941239714], [21.48541516307089, 49.25477657293622], [21.48536128908855, 49.25475374822923], [21.48533920705009, 49.2547293562352], [21.48533650314608, 49.25472709474928], [21.485334305021198, 49.25472636507373], [21.485312832541858, 49.254734006052445], [21.485302629883158, 49.25474331816872], [21.485303093962244, 49.254749168474795]]"
2865,2867,0.092000000178814,0.532999992370606,0.078999996185303,0.175999999046326,cs,70.0,"[[530465.5811999999, 153943.5175999999], [530465.5411999999, 153943.5175999999], [530465.5675999997, 153943.5236000009], [530465.5707999999, 153943.52329999954], [530467.0712000001, 153943.84759999998], [530473.7620000001, 153965.46770000085], [530479.6224999996, 153981.97770000063], [530481.3528000005, 153991.09779999964], [530487.8334999997, 154009.41779999994], [530490.4429000001, 154020.01410000026], [530490.4437999995, 154020.0178999994], [530490.4664000003, 154020.11390000023], [530491.3739, 154023.9679000005], [530491.3284999998, 154024.0515999999], [530490.6739999996, 154025.25789999962]]","[[21.487233318527778, 49.25408238978174], [21.487232799743545, 49.254082387455014], [21.487233141638015, 49.25408244297195], [21.487233183165912, 49.25408244045901], [21.48725261556981, 49.25408544542182], [21.487337580058146, 49.2542803480452], [21.48741220475831, 49.25442922735843], [21.48743388174624, 49.254511380426656], [21.48751639915577, 49.25467658008472], [21.487549354403715, 49.25477206543166], [21.487549365758046, 49.25477209967211], [21.48754965082967, 49.25477296468649], [21.487561097922494, 49.25480769142059], [21.487560502080356, 49.25480844182032], [21.487551912268707, 49.25481925671002]]"
55385,97094,0.068999998271465,0.53300005197525,0.078999996185303,0.175999999046326,cs,70.0,"[[530582.2851, 154025.6464000009], [530581.6451000003, 154023.71639999934], [530591.4550999999, 154020.8462000005], [530609.2352, 154016.43590000086], [530609.9151999997, 154016.90589999966], [530612.7255999995, 154027.0758999996], [530618.1962000001, 154046.1060000006], [530618.7328000003, 154047.5610000007], [530618.8563000001, 154047.89599999972], [530619.0462999996, 154048.6559999995]]","[[21.488740055778784, 49.25482807144285], [21.488731916485133, 49.254810670340554], [21.48885938995293, 49.254785416387456], [21.48909036234096, 49.254746768172346], [21.48909914251329, 49.25475103611871], [21.4891347430986, 49.25484269729704], [21.48920410597386, 49.255014225897305], [21.48921094404406, 49.255027347455254], [21.489212517834947, 49.255030368567176], [21.489214918618764, 49.25503721720759]]"
2864,55479,0.025000000372529,3.707239866256714,0.059679996222258,0.059000000357628,cs,6.0,"[[530485.9233999997, 154006.87780000083], [530486.5634000003, 154006.76779999956], [530486.7133999998, 154006.71780000068], [530486.8333999999, 154006.89780000038], [530487.7335000001, 154009.44779999927], [530490.3437999999, 154019.98790000007], [530490.3536, 154020.02820000052], [530490.3777000001, 154020.12790000066], [530491.3284999998, 154024.0515999999], [530491.3639000002, 154024.1978999991], [530490.6853999998, 154025.4154000003], [530490.6840000004, 154025.41789999977]]","[[21.487491838528122, 49.25465361695729], [21.487500148381624, 49.25465266450937], [21.487502098033293, 49.2546522233861], [21.487503639316195, 49.25465384980129], [21.487515099666858, 49.25467684417747], [21.487548071295272, 49.25477182395236], [21.48754819502171, 49.25477218709638], [21.48754849923788, 49.25477308548643], [21.487560502080356, 49.25480844182032], [21.487560948950247, 49.254809760121866], [21.487552046925142, 49.25482067438148], [21.487552028557946, 49.254820696792294]]"
55367,96059,0.041000001132488,1.039999961853027,0.080999992787838,0.119999997317791,cs,35.0,"[[530669.1513999999, 153865.1735999994], [530677.2215, 153863.74349999987], [530685.7515000002, 153862.00329999998], [530693.7816000003, 153860.4531999994], [530699.9013999999, 153850.0429999996], [530699.8213, 153848.67300000042]]","[[21.489880080072872, 49.25338934861418], [21.48998486408709, 49.2533769491147], [21.490095638558582, 49.253361786186524], [21.49019991369974, 49.253348304549334], [21.49028015179384, 49.253254999042966], [21.490279227137176, 49.253242668676066]]"
2865,55533,0.112000003457069,1.039999961853027,0.081000000238419,0.119999997317791,cs,35.0,"[[530421.8051000005, 154092.12959999964], [530421.7788000004, 154092.11319999956], [530420.9951, 154092.01960000023], [530420.6951000001, 154091.58960000053], [530419.3849999998, 154088.35960000008], [530419.2348999996, 154087.51960000023], [530419.5148999998, 154087.03959999979], [530423.1349, 154085.15949999914], [530429.1149000004, 154081.34940000065], [530432.1947999997, 154077.19930000044], [530435.6146999998, 154074.1392000001], [530441.3446000004, 154067.07909999974], [530445.2143999999, 154060.0388999991], [530448.0744000003, 154057.4589000009], [530454.7844000002, 154053.6286999993], [530456.7242999999, 154051.45869999938], [530458.1142999995, 154049.5686000008], [530458.8243000004, 154048.5086000003], [530459.5142000001, 154046.91860000044], [530460.2840999998, 154043.95859999955], [530460.5040999996, 154042.77850000001], [530461.9040999999, 154042.01850000024], [530477.8942, 154037.01820000075], [530483.4941999996, 154035.11810000055], [530487.8742000004, 154032.97800000012], [530489.1640999997, 154031.79800000042], [530489.8941000002, 154030.72800000012], [530490.2241000002, 154029.89790000021], [530490.6864, 154025.60830000043], [530490.6940000001, 154025.5379000008], [530490.7373000002, 154025.41489999928], [530490.6739999996, 154025.25789999962]]","[[21.486653083928793, 49.25541688627281], [21.486652744196736, 49.25541673719242], [21.48664258752919, 49.255415849444994], [21.486638732654015, 49.25541196331615], [21.48662201194672, 49.25538282710066], [21.48662013568744, 49.25537526098094], [21.4866238075614, 49.25537095878607], [21.48667091646272, 49.25535425456883], [21.48674879629843, 49.255320323769716], [21.486789090600123, 49.25528316514081], [21.486833703130966, 49.25525583288857], [21.486908611669218, 49.2551926475619], [21.486959393143707, 49.25512953296662], [21.48699670337058, 49.25510648746446], [21.487084052323578, 49.25507241807869], [21.487109394526424, 49.25505300772214], [21.487127581125748, 49.25503608359289], [21.487136878609736, 49.255026588208494], [21.487145959848377, 49.255012323307554], [21.487156193568254, 49.25498573733446], [21.4871591459013, 49.25497513291546], [21.487177367381463, 49.25496837673381], [21.4873851751992, 49.254924319677066], [21.48745796537029, 49.25490755033193], [21.487514952459474, 49.25488855076263], [21.487531781092194, 49.2548780094333], [21.487541338713633, 49.25486842520925], [21.487545688311204, 49.25486097608273], [21.487552043729217, 49.25482240993792], [21.487552148199324, 49.25482177699932], [21.487552720098655, 49.254820672900124], [21.487551912268707, 49.25481925671002]]"
2859,55390,0.112000003457069,0.567999958992004,0.074999995529652,0.202999994158745,cs,70.0,"[[530610.9187000003, 154131.54690000042], [530612.0686999997, 154131.2667999994], [530613.5186999999, 154130.7667999994], [530615.5387000004, 154129.31680000015], [530616.2587000001, 154128.81680000015], [530616.1886, 154128.64680000022], [530616.1748000002, 154128.57939999923], [530615.6886, 154126.2067000009], [530615.1485000001, 154123.5767000001], [530614.4583999999, 154120.16669999994], [530612.4079999998, 154110.12670000084], [530609.1375000002, 154093.93659999967], [530607.9972999999, 154088.14650000073], [530607.7273000004, 154087.6565000005], [530607.7030999996, 154087.57169999927], [530607.6672999999, 154087.4464999996], [530606.7372000003, 154082.93649999984], [530603.4469999997, 154067.0625], [530603.0301999999, 154065.05179999955], [530601.9264000002, 154059.7263999991], [530601.9765999997, 154059.66950000077], [530602.0168000003, 154059.62399999984], [530602.0763999997, 154059.5563999992], [530604.1364000002, 154058.91630000062], [530608.7564000003, 154057.4963000007], [530614.0864000004, 154055.86620000005], [530614.2731999997, 154055.8088000007], [530621.0164999999, 154053.73599999957], [530626.0264999997, 154052.19590000063], [530626.0465000002, 154052.21590000018], [530624.6164999995, 154054.5460000001], [530624.6064999998, 154054.56599999964], [530624.3164999997, 154054.6559999995]]","[[21.489102579360633, 49.25578250586195], [21.489117518275016, 49.25578005248605], [21.48913636656291, 49.25577563808024], [21.489162687118046, 49.25576270966615], [21.489172067292927, 49.25575825294973], [21.489171172297645, 49.255756719417555], [21.489170998942285, 49.25575611222801], [21.489164891147535, 49.255734737151464], [21.489158105770528, 49.2557110440533], [21.489149440066054, 49.255680324694055], [21.489123685237896, 49.255589877172504], [21.489082619737857, 49.25544402720459], [21.48906831522867, 49.25539186827131], [21.4890648542941, 49.25538744414947], [21.4890645475078, 49.25538667981119], [21.489064093646235, 49.255385551326526], [21.489052407181504, 49.25534492147741], [21.48901106012623, 49.25520191425169], [21.489005822311043, 49.25518380005942], [21.48899195120859, 49.25513582407606], [21.488992607050506, 49.25513531506356], [21.48899313224117, 49.25513490803579], [21.488993910893907, 49.255134303301524], [21.48902068228959, 49.25512866381139], [21.48908072167228, 49.255116156028095], [21.489149987174102, 49.2551017991143], [21.48915241473742, 49.255101293518614], [21.489240047464392, 49.25508303553157], [21.489305155017497, 49.25506946970141], [21.48930541274401, 49.25506965079774], [21.489286671257545, 49.255090531587044], [21.48928653988866, 49.25509071094534], [21.48928277111593, 49.25509150386318]]"
